项目,设备,工站/部件/站位,规格/要求,调试步骤,调试工具,注意事项,ppt文件,PPT页面
Boston,Heater,PID 自整定,稳态误差 ≤ ±0.2 °C；上升时间 < 90 s（25 → 120 °C）；超调 < 2 °C,"1. 加热腔体清洁、热电偶 K 型已正确插入中心位置。
2. 在控制器 RKC FB400 → AT 模式选择 “PID Auto-Tuning - Standard”。
3. 设定 SP = 120 °C，按下 AT 启动；控制器将产生 3 次振荡。
4. 整定完成约 8 min，记录 P / I / D 参数；典型值 P=8.5, I=120, D=30。
5. 跑温度阶梯曲线 25→60→90→120→90→25，导出趋势图存档。
6. 若超调 > 2 °C，手动将 P 增大 20%，I 减小 10% 再验证。",RKC FB400 控制器；K 型热电偶 ϕ1.5；趋势记录软件 PCRecorder,自整定期间禁止开门或扰动负载；不同负载（空腔 vs 满载）参数差异显著，必须以实际工况整定。,setup_Heater_pid.pptx,8
Sonora,Heater,SSR 散热器风扇,风扇转速 ≥ 3500 rpm；SSR 散热器表面温度 ≤ 65 °C,"1. 启动设备并以最大负载（全部加热段开启）运行 30 min。
2. 用转速表测量风扇 RPM；< 3500 表示风扇老化或灰尘阻塞。
3. 拆下风扇，用压缩空气（< 0.3 MPa）吹净叶片与防尘网。
4. 用红外测温枪测散热器中心温度；> 65 °C 需更换散热硅脂或加大风量。
5. 换风扇时注意进风方向（标签朝向 SSR 散热器）。
6. 风扇运行电流应在 0.15–0.25 A，超出范围更换。",数字转速表；FLIR 测温枪；压缩空气；散热硅脂 Arctic MX-4,SSR 长期超温会引起短路，进而烧加热回路，必须严格管控温度。,setup_Heater_ssr_fan.pptx,3
MHK,Loader,真空吸盘,吸附压力 -85 ± 5 kPa；漏率 < 0.5 kPa/s（关闭真空源后）,"1. 启动真空泵，待真空表稳定后读数 -85 ± 5 kPa。
2. 关闭真空源截止阀，启动秒表记录 10 s 内真空衰减。
3. 漏率 > 0.5 kPa/s：用肥皂水沿吸盘 O-ring 涂抹查找泄漏点。
4. 常见原因：吸盘表面划伤（更换吸盘）、O-ring 老化（更换）、快插接头松动（拧紧或换接头）。
5. 维修后必须重新做 10 次抓放测试，无掉片即为合格。
6. 在维护卡上签字并更新 PM 计数。",真空表；肥皂水；扭矩扳手；备件吸盘 P/N: VAC-P50,拆装吸盘时必须断开真空与气源；O-ring 安装前涂少量真空脂（Apiezon L），不可过量。,setup_Loader_vacuum.pptx,4
Yucatan,Loader,机械手抓取速度,X 轴速度 800 mm/s；Y 轴 600 mm/s；加加速度 jerk ≤ 50 m/s³,"1. 进入 Service Mode → Motion → Velocity Profile。
2. 速度由 200 mm/s 阶梯递增至目标值，每档跑 20 次 pick-place 循环。
3. 用高速相机（≥ 1000 fps）记录抓取瞬间的晶圆抖动幅度；幅度 > 5 μm 表示速度过快。
4. 若抖动超标，降速 10% 或减小 jerk 至 30 m/s³。
5. 调试完成把参数写入 recipe；备份原 recipe 至 \\backup\loader_recipes\<date>。
6. 提交 24 h 老化测试报告。",Photron FASTCAM Mini；Motion Studio 软件；recipe 备份脚本,首次调试新产品时务必从低速开始；jerk 参数对掉片影响远大于 max speed，先调 jerk 再调速度。,setup_Loader_speed.pptx,11
PDX,Loader,载具识别传感器,对位精度 ≤ ±0.3 mm；识别成功率 ≥ 99.9%（1000 次盲测）,"1. 把标准载具放置到入料位（位置 P0）。
2. 启动 Teach 模式，让光电传感器 OMRON E3Z-D81 学习 P0 位置反射光强（建议 70–80% 满量程）。
3. 设定上下限阈值 ±15%。
4. 取出载具，用空位 + 异形载具各跑 100 次，检查是否误报。
5. 完整 1000 次抓放盲测，记录失败次数；≤ 1 次为通过。
6. 在维护册中记录传感器序列号、阈值与测试结果。",E3Z-D81 调试线；标准载具 1pcs；异形对照件,环境光强变化大的工位（靠近窗户）应增加遮光罩；传感器表面切勿粘贴标签。,setup_Loader_carrier.pptx,6
MEM,Pump,真空机械泵油位,油位在视窗 1/2–3/4 之间；新泵 6 个月或 2000h 强制换油,"1. 关停泵 10 min 让油冷却。
2. 观察油镜，油液应澄清淡黄；若发黑或乳化必须换油。
3. 油位低于 1/2：从加油口缓慢添加 Edwards Ultragrade 19，加至 3/4 上限。
4. 油位高于 3/4：从放油口排出多余油，避免飞溅。
5. 换油：彻底放尽旧油 → 加入新油至 1/4 运行 5 min → 放尽 → 再加至正常位。
6. 更新 PM 卡，贴下次维护标签。",Edwards Ultragrade 19；接油盘；漏斗；扭矩扳手 19 mm,废油按危废处理，不可直排；换油时不可让油接触加热表面，蒸汽具刺激性，须在通风下操作。,setup_Pump_oil.pptx,2
Kinneret,Pump,干泵排气过滤器,压差 ΔP < 30 kPa；满载流量下温升 ≤ 15 °C,"1. 在过滤器进出口接压差表 Setra Model 264。
2. 开启泵满负荷运行 30 min，读取 ΔP；> 30 kPa 表示堵塞。
3. 关泵泄压，戴防毒面具拆下过滤器（介质可能含有腐蚀性副产物）。
4. 更换新滤芯（P/N: PFE-DRY-200），密封圈每次必换。
5. 重新装好，做 N2 泄漏测试，10 min 压降 ≤ 5 mbar。
6. 开泵复测压差并记录。",Setra 264 压差表；防毒面具 3M 6800；扭矩扳手；备件滤芯,干泵排气含工艺尾气，禁止徒手操作；废滤芯按工艺危废入袋封存。,setup_Pump_filter.pptx,7
Boston,SensorModule,激光位移传感器零点,零点偏差 ≤ ±1 μm；线性度 ≤ 0.05% F.S.,"1. 将基准块放置在测量位（高度公差 ±0.5 μm）。
2. 进入 sensor controller Keyence LK-G5000，选择 Teaching Origin。
3. 多次（10 次）读取基准位读数，取平均设为新零点。
4. 用千分尺工件法验证 0, 50, 100, 150, 200 μm 五点，记录传感器示值。
5. 拟合直线求线性度，应 ≤ 0.05% × 量程。
6. 备份传感器参数至 SD 卡，并打印校准报告。",基准块 2 级；Keyence LK-G5000 控制器；标准千分尺；SD 卡,镜面工件易引起激光多重反射造成误读，需启用 mirror surface 模式或加防反射涂层。,setup_SensorModule_laser.pptx,3
Sonora,SensorModule,压力传感器零位,零点漂移 ≤ 0.1% FS / 24 h；满度误差 ≤ 0.25% FS,"1. 通气路三通阀切到“零位”（与大气相通）。
2. 进入仪表 Zero 菜单，按 Auto Zero 按钮，等待 5 s。
3. 切换至“标准源”位置，输入参考压力 100 kPa（标准源 Druck DPI 610）。
4. 仪表读数与参考差 ≤ 0.25 kPa；超差则在 Span 菜单调整增益。
5. 静置 24 h 后重测零位，漂移 ≤ 0.1 kPa。
6. 完成后封贴铅封并在 GMP 设备档案签字。",Druck DPI 610 压力标准源；三通阀；铅封钳,校准时必须断开生产气源，防止误送压力；标准源每年送计量院校准并保存证书。,setup_SensorModule_pressure.pptx,4
PDX,Stage,X-Y 轴正交度,正交误差 ≤ 10 arcsec；行程 0–300 mm 全程一致,"1. 装上花岗岩直角尺，吸附在工作台中央。
2. 在 X 轴正方向 50 mm 处用激光干涉仪 Renishaw XL-80 测量 Y 偏差。
3. 走 X 轴 0 → 300 mm，每 50 mm 记录 Y 偏移。
4. 调换轴向重复一次（Y 轴走，X 测）。
5. 由两组数据合成计算正交误差；> 10 arcsec 需在伺服参数中调整 cross-axis compensation。
6. 完成校准后必须重新做 grid mapping，并生成 .map 文件加载到 controller。",Renishaw XL-80 激光干涉仪；花岗岩直角尺；XL Compensator 软件,干涉仪测量期间空气温湿度变化需 ≤ 1 °C / 1 h，否则补偿失效；地基振动应 < VC-D 等级。,setup_Stage_orthogonality.pptx,6
MHK,Stage,Z 轴回程间隙,Backlash ≤ 3 μm；空回补偿后定位误差 ≤ 2 μm,"1. 在 Z 轴末端固定光学测头。
2. Z 上行至 50 mm 处停止；记录读数 A。
3. 下行 5 mm 再上行回 50 mm 处停止，记录读数 B。
4. Backlash = |A - B|；若 > 3 μm，启用 controller 中 backlash compensation 字段。
5. 加补偿后再次重复测试至 ≤ 2 μm；保存参数。
6. 若多次调整无效，需拆检丝杆/螺母组件磨损情况。",光学测头；编码器读数工具；丝杆维护手册,丝杆磨损需整体更换，禁止现场抛光修复；调整后需做温升试验，连续运行 1 h 复测。,setup_Stage_backlash.pptx,5
Yucatan,Stage,水平度,XY 平台水平度 ≤ 0.02 mm/m；地脚螺栓预紧 30 N·m,"1. 把电子水平仪放置在工作台中心 X 方向，读数 R1。
2. 旋转 90° 测 Y 方向 R2。
3. 若 R1 或 R2 > 0.02 mm/m：调整对应方向地脚螺栓（升高一侧顺时针 1/8 圈）。
4. 调整后等机器静置 5 min 再复测；水平稳定后用扭矩扳手按 30 N·m 锁紧所有地脚。
5. 在《设备水平度记录表》签字并贴标识。",电子水平仪 0.001 mm/m；M16 扭矩扳手；地脚螺栓垫片,调整完成后需要重新做 stage mapping；机器搬动或地基沉降后必须重新校水平。,setup_Stage_level.pptx,9
所有项目,Aligner,年度 PM 全检,对位精度 ≤ ±2 μm；光源亮度 ≥ 出厂值 90%；所有轴 Cpk ≥ 1.67,"1. 备齐 PM 工具箱（含标定片、塞尺、扭矩起子、清洁剂）。
2. 按 Annual PM Checklist 共 32 项依次执行，每项打钩并填写实测值。
3. 关键项目（精度、光源、轴 Cpk）必须有量化数据，仅打钩不接受。
4. 任一项不合格立即开 NCR 单，安排专修。
5. PM 完成后整机跑 8 h burn-in，无报警即可放行。
6. 将报告归档至 \\qms\PM\Aligner\<year>\。",Annual PM Toolkit；Cpk 计算器；burn-in 测试脚本,PM 期间禁止任何生产作业；旧零件需在《报废件登记本》登记并按价值分类回收。,setup_Aligner_annualPM.pptx,1
所有项目,Conveyor,紧急停止按钮巡检,拍下后必须双手 reset；reset 时间 ≤ 2 s；电气触点电阻 < 0.5 Ω,"1. 列出所有 E-stop 数量与位置（参照机械图 EE-0103）。
2. 逐个拍下，确认整线停机且报警 “E-STOP Pressed” 显示按钮编号。
3. 拔出按钮后启动 reset 程序（绿色双键按 1 s），系统恢复时间 < 2 s。
4. 用万用表测每个 E-stop 触点闭合电阻 < 0.5 Ω。
5. 记录《安全装置月度点检表》并由 EHS 经理签字。",万用表；安全装置点检表；机械图纸,巡检前必须告知操作工避免误停产；任何 reset 异常须立即开工单，严禁旁路。,setup_Conveyor_estop.pptx,10
Kinneret,FTU,软件 recipe 版本管理,recipe 文件名包含 product+rev+date；变更必须经 ECN 审批,"1. 新建 recipe：在测试软件中另存为命名 <PN>_<rev>_<YYYYMMDD>.rcp。
2. 提交 ECN（工程变更通知），附前后差异对比文件。
3. ECN 审批通过后才能在生产机加载新 recipe；旧 recipe 保留 2 年。
4. 现场切换 recipe 时操作工必须双签确认；首件 5 pcs 全测合格才能批量。
5. recipe 每周自动备份至服务器 \\fs\ftu_recipes\backup\。
6. 半年做一次 recipe 一致性审计。",ECN 系统；recipe 编辑器 FTU Studio 2.3；备份脚本,禁止任何人在生产中私自修改 recipe；修改后无法追溯将影响产品质量追溯。,setup_FTU_recipe.pptx,13
MEM,Heater,升温曲线安全联锁,105 °C 软联锁；115 °C 硬联锁；超温后必须人工 reset,"1. 模拟温度上升：将 PID 设定调至 105 °C，确认软联锁报警弹出。
2. 继续手动注入加热电流让温度上升至 115 °C；硬联锁应通过 SSR 切断接触器主回路。
3. 验证只有 EHS 钥匙旋转 reset 后才能复位（普通操作员无权）。
4. 联锁验证每季度一次，记录入安全档案。
5. 任意一次联锁失效必须立刻停线维修。",PID 模拟测试器；安全 PLC；EHS 钥匙,联锁是最后一道保护，禁止旁路；硬联锁断电点必须独立于软件控制回路。,setup_Heater_interlock.pptx,2
Sonora,Loader,ESD 接地点检,机架对地阻抗 ≤ 1 Ω；操作工腕带 750 kΩ ± 10%,"1. 在每个 ESD 接地端子用 Fluke 1623-2 测对地电阻；记录值。
2. 任何点 > 1 Ω：检查接地线接触面是否氧化，用砂纸打磨后重涂导电脂复测。
3. 操作工腕带测试盒每日上班自检；显示绿灯方可工作。
4. 工作台离子风机离子平衡 ≤ ±35 V；用 ME 268A 测试。
5. 记录《ESD 月度点检表》。",Fluke 1623-2 接地电阻表；ME 268A 离子平衡表；腕带自检盒,"ESD 防护对静电敏感器件（CMOS, MEMS）至关重要，超标必须停机；离子风机滤网 3 个月换一次。",setup_Loader_esd.pptx,8
Boston,Pump,泵浦联锁与冷却水流量,冷却水流量 ≥ 4 L/min；流量 < 3 L/min 触发停泵,"1. 打开冷却水阀，记录初始流量计读数。
2. 缓慢关闭进水阀模拟流量下降；< 3 L/min 时设备应在 5 s 内停泵并报警 “Low Cooling Flow”。
3. 复位后水阀全开，流量恢复 ≥ 4 L/min。
4. 每季度演习一次，并记录响应时间。
5. 流量计每年送计量院校准。",可调球阀；流量计 GEMS RFA-2510；秒表,泵无冷却水运行 10 s 即可能严重过热损坏定子；任何联锁失效必须立刻封机。,setup_Pump_cooling.pptx,5
PDX,SensorModule,温湿度传感器年度校准,温度 ±0.3 °C；湿度 ±2% RH；偏差超出送计量院,"1. 把传感器与标准源 Vaisala HMK15 放入校准箱共置 1 h。
2. 三点校准：25 °C/50% RH、25 °C/75% RH、40 °C/50% RH。
3. 每点稳定 30 min 取读数；偏差超标在传感器自带软件中调零或换件。
4. 校准合格者贴检定合格证；超差者退送计量院。
5. 上传校准报告 PDF 至设备档案系统。",Vaisala HMK15 校准箱；标准证书；校准软件,校准期间禁止开门；标准源每年由计量院送检，禁止现场使用过期标准。,setup_SensorModule_thrh.pptx,7
MHK,Stage,气浮平台供气,供气压力 0.55 MPa ± 0.02；含水量 ≤ 1.0 ppm（露点 ≤ -40 °C）,"1. 检查气源 FRL 组件，确认过滤器无水珠，调压稳定 0.55 MPa。
2. 用露点仪 Vaisala DMT143 测量管路下游露点 ≤ -40 °C；超标更换干燥剂或检查冷干机。
3. 气浮启动后用塞尺测平台四角气膜厚度，每角 10±2 μm。
4. 任一角厚度异常：检查节流孔是否堵塞，用 100 μm 探针通孔。
5. 完成后记录《气浮供气点检表》。",Vaisala DMT143 露点仪；FRL 组件；塞尺；100 μm 探针,气浮平台对气源洁净度要求极高，颗粒 > 0.3 μm 会刮伤导轨；管路压缩空气必须三级过滤。,setup_Stage_air.pptx,4
Yucatan,FTU,老化炉温场均匀度,±2 °C @ 85 °C；±3 °C @ 125 °C；测点 9 点（3×3 网格）,"1. 取空炉，9 点放置标定 K 型热电偶；线缆走出炉门用密封胶泥封堵。
2. 设定 85 °C 保温 4 h，记录 9 点稳态值；极差 ≤ 4 °C 通过。
3. 升至 125 °C 保温 4 h，极差 ≤ 6 °C 通过。
4. 不通过：调整循环风扇风量平衡，或检查加热管局部失效。
5. 每年完成 IQ/OQ 报告，提交客户审计。",K 型热电偶 ×9；高温密封胶泥；多通道温度记录仪 GL840,老化炉关门密封条老化会导致下半部温差大，每年更换一次密封条。,setup_FTU_burnin.pptx,11
Kinneret,Loader,防呆 SOP 验证,错装载具不可启动；MES 工单号与产品 SN 必须匹配,"1. 用 NG 载具（少一个定位销）尝试上料，系统应报警 “Carrier Mismatch”。
2. 故意输入错误工单号扫码，系统应阻止并提示工单不匹配。
3. 验证 MES 与设备的双向握手日志（每条记录含时间、SN、工单）。
4. 防呆失效需立即开 Quality Alert 通报全厂。
5. 每月做一次防呆失效演练。",NG 载具 1pcs；MES 工单测试号；扫码枪,防呆功能是产品追溯的最后一道关，绝不可关闭；任何禁用必须有总工签字。,setup_Loader_poka_yoke.pptx,1
Boston,Aligner,上视光源 LED 寿命,出厂亮度 100%；20000 h 后 ≥ 90%；6 个月点检一次,"1. 设定光源亮度 100%，用照度计 Konica T-10A 在固定距离测照度。
2. 将测值与基线（出厂调试时记录）比较；保留 6 位小数。
3. < 90% 基线：考虑更换 LED 模块或恢复至 100% 后再延后 3 个月评估。
4. 更换 LED 后必须重新做曝光 recipe 校准。
5. 记录《光源寿命跟踪表》。",Konica T-10A 照度计；LED 备件 P/N: LED-WHT-12V；记录表,LED 老化呈非线性，达到 90% 后衰减加速；及时更换避免成像质量影响识别率。,setup_Aligner_led.pptx,3
Sonora,Stage,直线电机磁条清洁,磁条无金属碎屑；定位精度 Cpk ≥ 1.67,"1. 关停设备，断电至少 5 min（释放残余电场）。
2. 用木质或塑料工具（禁用金属）轻刮磁条表面碎屑。
3. 用无尘布蘸异丙醇擦拭，单方向擦拭 3 次。
4. 通电做 50 次重复定位测试，计算 Cpk ≥ 1.67。
5. 维护周期 3 个月或每运行 1500 h，取先到。",无尘布；异丙醇 IPA；非金属刮刀；Cpk 计算软件,磁条具有强磁场，电子设备、手表、磁卡须远离 30 cm 以上；不可用压缩空气直吹（会把碎屑吹入导轨）。,setup_Stage_magnet.pptx,6
MEM,Pump,氮气吹扫流量,正常吹扫 5 slm；待机 1 slm；停机 0 slm,"1. 进入 PM 模式，逐档切换吹扫流量并用 MKS 1179B 标准流量计验证。
2. 误差 ±5% 以内为合格。
3. 通过 SCADA 触发不同状态信号（运行/待机/停机），观察吹扫自动切换。
4. 任一档失效：检查 MFC 是否堵塞或电控信号断线。
5. 测试期间排尾气至中央洗涤塔，禁止直排室内。",MKS 1179B MFC；SCADA 测试工具；尾气接管,停机仍有微量吹扫的工艺禁止把流量调至 0，否则反吸将污染干泵。,setup_Pump_n2.pptx,9
Yucatan,Heater,热电偶冷端补偿,Tj 偏差 ≤ 0.2 °C；冷端补偿器每年校准,"1. 拆下控制器后盖，找到冷端补偿器（一般为 PT100 + 运放电路）。
2. 把校准源 Fluke 754 切换到 J/K 型热电偶模拟模式，输出 0 mV，读控制器示值。
3. 示值应 = 室温（± 0.2 °C），否则在 controller 校准菜单输入修正量。
4. 输出 4.096 mV（K 型对应 100 °C）复核，读数 ≈ 室温 + 100 °C。
5. 校准完成密封后盖。",Fluke 754；多功能源；记录表,冷端补偿误差直接乘以工艺温度，被忽视常导致系统性 0.5–1 °C 偏移；务必每年校准。,setup_Heater_cold_junction.pptx,4
PDX,Conveyor,拐弯段速度匹配,主线与拐弯段速度比 1:1 ± 2%；过渡平台无堆积,"1. 在主线和拐弯段各贴反光标识。
2. 用激光转速表测线速度，记录主线 v1、拐弯段 v2。
3. v2/v1 应在 0.98–1.02。若超差，调整变频器参数 P0-12 (output freq scaling)。
4. 实际上料 30 pcs 观察过渡处有无堆积或翻倒。
5. 完成后填《拐弯段速度匹配表》。",反光贴；激光转速表；变频器编程器,速度不匹配最早表现是堆积导致下游误判空料；调整时一次仅调一档变频器参数。,setup_Conveyor_curve.pptx,13
MHK,SensorModule,视觉光源照度,环形光照度 12000 ± 500 lx；同心度 ≤ ±1 mm,"1. 把照度计探头放在工件位中心。
2. 打开环形光至 80% 占空比，记录读数 12000 lx 左右。
3. 旋转探头 0°/90°/180°/270° 各读一次，最大-最小 ≤ 1000 lx。
4. 同心度：取下探头，目视光源对工件中心；偏差用激光对中器测。
5. 失败：松开光源支架重新对中，重新固定。",Konica T-10A；激光对中器；环形光控制器,光源占空比频繁满负荷会缩短寿命，建议保持 ≤ 80%；维持目标照度通过曝光时间补偿。,setup_SensorModule_ringlight.pptx,2
